
Plant,Row,Bay,Level,Side,Location_Code
ANV2,D,02,4,L,ANV2_D_02_4_L
ANV2,D,02,4,R,ANV2_D_02_4_R
ANV2,D,02,5,L,ANV2_D_02_5_L
ANV2,D,02,5,R,ANV2_D_02_5_R
ANV2,D,02,6,L,ANV2_D_02_6_L
ANV2,D,02,6,R,ANV2_D_02_6_R
ANV2,D,03,1,L,ANV2_D_03_1_L
ANV2,D,03,1,R,ANV2_D_03_1_R
ANV2,D,03,2,L,ANV2_D_03_2_L
ANV2,D,03,2,R,ANV2_D_03_2_R
ANV2,D,03,3,L,ANV2_D_03_3_L
ANV2,D,03,3,R,ANV2_D_03_3_R
ANV2,D,03,4,L,ANV2_D_03_4_L
ANV2,D,03,4,R,ANV2_D_03_4_R
ANV2,D,03,5,L,ANV2_D_03_5_L
ANV2,D,03,5,R,ANV2_D_03_5_R
ANV2,D,03,6,L,ANV2_D_03_6_L
ANV2,D,03,6,R,ANV2_D_03_6_R
ANV2,D,04,1,L,ANV2_D_04_1_L
ANV2,D,04,1,R,ANV2_D_04_1_R
ANV2,D,04,2,L,ANV2_D_04_2_L
ANV2,D,04,2,R,ANV2_D_04_2_R
ANV2,D,04,3,L,ANV2_D_04_3_L
ANV2,D,04,3,R,ANV2_D_04_3_R
ANV2,D,04,4,L,ANV2_D_04_4_L
ANV2,D,04,4,R,ANV2_D_04_4_R
ANV2,D,04,5,L,ANV2_D_04_5_L
ANV2,D,04,5,R,ANV2_D_04_5_R
ANV2,D,04,6,L,ANV2_D_04_6_L
ANV2,D,04,6,R,ANV2_D_04_6_R
ANV2,D,05,1,L,ANV2_D_05_1_L
ANV2,D,05,1,R,ANV2_D_05_1_R
ANV2,D,05,2,L,ANV2_D_05_2_L
ANV2,D,05,2,R,ANV2_D_05_2_R
ANV2,D,05,3,L,ANV2_D_05_3_L
ANV2,D,05,3,R,ANV2_D_05_3_R
ANV2,D,05,4,L,ANV2_D_05_4_L
ANV2,D,05,4,R,ANV2_D_05_4_R
ANV2,D,05,5,L,ANV2_D_05_5_L
ANV2,D,05,5,R,ANV2_D_05_5_R
ANV2,D,05,6,L,ANV2_D_05_6_L
ANV2,D,05,6,R,ANV2_D_05_6_R
ANV2,D,06,1,L,ANV2_D_06_1_L
ANV2,D,06,1,R,ANV2_D_06_1_R
ANV2,D,06,2,L,ANV2_D_06_2_L
ANV2,D,06,2,R,ANV2_D_06_2_R
ANV2,D,06,3,L,ANV2_D_06_3_L
ANV2,D,06,3,R,ANV2_D_06_3_R
ANV2,D,06,4,L,ANV2_D_06_4_L
ANV2,D,06,4,R,ANV2_D_06_4_R
ANV2,D,06,5,L,ANV2_D_06_5_L
ANV2,D,06,5,R,ANV2_D_06_5_R
ANV2,D,06,6,L,ANV2_D_06_6_L
ANV2,D,06,6,R,ANV2_D_06_6_R
ANV2,D,07,1,L,ANV2_D_07_1_L
ANV2,D,07,1,R,ANV2_D_07_1_R
ANV2,D,07,2,L,ANV2_D_07_2_L
ANV2,D,07,2,R,ANV2_D_07_2_R
ANV2,D,07,3,L,ANV2_D_07_3_L
ANV2,D,07,3,R,ANV2_D_07_3_R
ANV2,D,07,4,L,ANV2_D_07_4_L
ANV2,D,07,4,R,ANV2_D_07_4_R
ANV2,D,07,5,L,ANV2_D_07_5_L
ANV2,D,07,5,R,ANV2_D_07_5_R
ANV2,D,07,6,L,ANV2_D_07_6_L
ANV2,D,07,6,R,ANV2_D_07_6_R
ANV2,D,08,1,L,ANV2_D_08_1_L
ANV2,D,08,1,R,ANV2_D_08_1_R
ANV2,D,08,2,L,ANV2_D_08_2_L
ANV2,D,08,2,R,ANV2_D_08_2_R
ANV2,D,08,3,L,ANV2_D_08_3_L
ANV2,D,08,3,R,ANV2_D_08_3_R
